dataset,scope,method,test,metric,delta,pvalue,ci_lo,ci_hi
kvasir,single,hce,cbsampler_vs_focal,F1,-0.0101,2.068e-291,-0.0596,0.0465
kvasir,single,hce,cbsampler_vs_focal,MCC,-0.0122,0.2084,-0.0806,0.0617
kvasir,single,hce,cbsampler_vs_focal,rareRec,0.0587,0.6401,-0.0604,0.1644
kvasir,single,hce,cbsampler_vs_focal,rarePrec,0.0253,0.6278,-0.0645,0.1066
kvasir,single,hce,cbsampler_vs_focal,rareF1,0.0238,0.4059,-0.0284,0.0833
kvasir,single,pact,cbsampler_vs_focal,F1,-0.0146,0.04154,-0.0520,0.0315
kvasir,single,pact,cbsampler_vs_focal,MCC,-0.0066,0.199,-0.0630,0.0557
kvasir,single,pact,cbsampler_vs_focal,rareRec,0.0260,0.5901,-0.0515,0.0830
kvasir,single,pact,cbsampler_vs_focal,rarePrec,0.0439,0.5699,-0.0673,0.1604
kvasir,single,pact,cbsampler_vs_focal,rareF1,0.0085,0.3722,-0.0248,0.0466
kvasir,ens,hce,cbsampler_vs_focal,F1,-0.0137,0.6741,-0.0494,0.0321
kvasir,ens,hce,cbsampler_vs_focal,MCC,-0.0189,0.5643,-0.0692,0.0294
kvasir,ens,hce,cbsampler_vs_focal,rareRec,0.0923,0.4366,-0.0597,0.1692
kvasir,ens,hce,cbsampler_vs_focal,rarePrec,0.0063,0.4044,-0.0277,0.0569
kvasir,ens,hce,cbsampler_vs_focal,rareF1,0.0146,0.3966,-0.0252,0.0838
kvasir,ens,pact,cbsampler_vs_focal,F1,0.0026,0.2715,-0.0327,0.0460
kvasir,ens,pact,cbsampler_vs_focal,MCC,0.0012,0.1735,-0.0412,0.0468
kvasir,ens,pact,cbsampler_vs_focal,rareRec,0.0913,0.8317,-0.0464,0.1667
kvasir,ens,pact,cbsampler_vs_focal,rarePrec,0.0202,0.8089,-0.0194,0.1014
kvasir,ens,pact,cbsampler_vs_focal,rareF1,0.0323,0.7548,-0.0186,0.1167
