dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
galar_pathology,argmax,0,8960238,0.856549,0,0.9294,0.9162,0.0163,0.9226,0.0195
galar_pathology,argmax,1,1120725,0.107135,0,0.5398,0.5888,0.1116,0.5621,0.1150
galar_pathology,argmax,2,99474,0.009509,0,0.0753,0.0901,0.0658,0.0589,0.0246
galar_pathology,argmax,3,85713,0.008194,0,0.3534,0.4888,0.2822,0.4005,0.1847
galar_pathology,argmax,4,48924,0.004677,0,0.0683,0.0568,0.0066,0.0594,0.0130
galar_pathology,argmax,5,43701,0.004178,0,0.0547,0.0967,0.0515,0.0602,0.0061
galar_pathology,argmax,6,43533,0.004162,0,0.0368,0.0509,0.0076,0.0404,0.0164
galar_pathology,argmax,7,32997,0.003154,0,0.0365,0.0000,0.0001,0.0001,0.0001
galar_pathology,argmax,8,17946,0.001716,1,0.1440,0.0286,0.0341,0.0474,0.0557
galar_pathology,argmax,9,7389,0.000706,1,0.0475,0.0684,0.0479,0.0496,0.0450
galar_pathology,argmax,10,180,0.000017,1,0.0556,0.0030,0.0067,0.0056,0.0126
galar_pathology,argmax,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,la_tau,0,8960238,0.856549,0,0.9294,0.9162,0.0163,0.9226,0.0195
galar_pathology,la_tau,1,1120725,0.107135,0,0.5398,0.5888,0.1116,0.5621,0.1150
galar_pathology,la_tau,2,99474,0.009509,0,0.0753,0.0901,0.0658,0.0589,0.0246
galar_pathology,la_tau,3,85713,0.008194,0,0.3534,0.4888,0.2822,0.4005,0.1847
galar_pathology,la_tau,4,48924,0.004677,0,0.0683,0.0568,0.0066,0.0594,0.0130
galar_pathology,la_tau,5,43701,0.004178,0,0.0547,0.0967,0.0515,0.0602,0.0061
galar_pathology,la_tau,6,43533,0.004162,0,0.0368,0.0509,0.0076,0.0404,0.0164
galar_pathology,la_tau,7,32997,0.003154,0,0.0365,0.0000,0.0001,0.0001,0.0001
galar_pathology,la_tau,8,17946,0.001716,1,0.1440,0.0286,0.0341,0.0474,0.0557
galar_pathology,la_tau,9,7389,0.000706,1,0.0475,0.0684,0.0479,0.0496,0.0450
galar_pathology,la_tau,10,180,0.000017,1,0.0556,0.0030,0.0067,0.0056,0.0126
galar_pathology,la_tau,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,ot_alpha,0,8960238,0.856549,0,0.9096,0.9106,0.0629,0.9062,0.0042
galar_pathology,ot_alpha,1,1120725,0.107135,0,0.5669,0.4985,0.1884,0.4049,0.0638
galar_pathology,ot_alpha,2,99474,0.009509,0,0.0580,0.0941,0.0771,0.0458,0.0177
galar_pathology,ot_alpha,3,85713,0.008194,0,0.3755,0.4627,0.2849,0.3994,0.1844
galar_pathology,ot_alpha,4,48924,0.004677,0,0.0617,0.0576,0.0258,0.0471,0.0102
galar_pathology,ot_alpha,5,43701,0.004178,0,0.0647,0.0794,0.0490,0.0655,0.0263
galar_pathology,ot_alpha,6,43533,0.004162,0,0.0360,0.0363,0.0154,0.0361,0.0156
galar_pathology,ot_alpha,7,32997,0.003154,0,0.0263,0.0002,0.0002,0.0004,0.0005
galar_pathology,ot_alpha,8,17946,0.001716,1,0.0430,0.0832,0.0957,0.0558,0.0626
galar_pathology,ot_alpha,9,7389,0.000706,1,0.0572,0.0384,0.0281,0.0434,0.0398
galar_pathology,ot_alpha,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,ot_alpha,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
