dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
kvasir_cbsampler,argmax,0,866,0.018366,0,0.2555,0.0405,0.0016,0.0652,0.0059
kvasir_cbsampler,argmax,1,446,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,argmax,2,498,0.010561,1,0.0504,0.1271,0.0952,0.0420,0.0036
kvasir_cbsampler,argmax,3,159,0.003372,1,0.0625,0.1481,0.1481,0.0879,0.0879
kvasir_cbsampler,argmax,4,776,0.016457,0,0.2195,0.2700,0.2192,0.2358,0.1704
kvasir_cbsampler,argmax,5,4189,0.088838,0,0.4417,0.4775,0.0957,0.3965,0.0913
kvasir_cbsampler,argmax,6,592,0.012555,0,0.3482,0.2406,0.1835,0.2457,0.1485
kvasir_cbsampler,argmax,7,34338,0.728225,0,0.8735,0.8568,0.0539,0.8619,0.0021
kvasir_cbsampler,argmax,8,1529,0.032426,0,0.2813,0.7449,0.0664,0.4080,0.0579
kvasir_cbsampler,argmax,9,2906,0.061629,0,0.4952,0.0859,0.0008,0.1453,0.0068
kvasir_cbsampler,argmax,10,854,0.018111,0,0.1149,0.0261,0.0107,0.0378,0.0095
kvasir_cbsampler,la_tau,0,866,0.018366,0,0.3225,0.0758,0.0021,0.1133,0.0223
kvasir_cbsampler,la_tau,1,446,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,la_tau,2,498,0.010561,1,0.0496,0.1557,0.1122,0.0475,0.0083
kvasir_cbsampler,la_tau,3,159,0.003372,1,0.0400,0.2593,0.2593,0.0693,0.0693
kvasir_cbsampler,la_tau,4,776,0.016457,0,0.2138,0.3415,0.2499,0.2582,0.1617
kvasir_cbsampler,la_tau,5,4189,0.088838,0,0.4359,0.4866,0.0823,0.4029,0.1001
kvasir_cbsampler,la_tau,6,592,0.012555,0,0.3398,0.3005,0.1727,0.2774,0.0856
kvasir_cbsampler,la_tau,7,34338,0.728225,0,0.8942,0.8333,0.0575,0.8597,0.0109
kvasir_cbsampler,la_tau,8,1529,0.032426,0,0.2708,0.7736,0.0900,0.4010,0.0605
kvasir_cbsampler,la_tau,9,2906,0.061629,0,0.5016,0.0951,0.0067,0.1587,0.0177
kvasir_cbsampler,la_tau,10,854,0.018111,0,0.0866,0.0243,0.0088,0.0337,0.0062
kvasir_cbsampler,ot_alpha,0,866,0.018366,0,0.2855,0.2979,0.1863,0.1345,0.0495
kvasir_cbsampler,ot_alpha,1,446,0.009459,1,0.1104,0.1458,0.1269,0.0272,0.0074
kvasir_cbsampler,ot_alpha,2,498,0.010561,1,0.0110,0.0276,0.0247,0.0141,0.0101
kvasir_cbsampler,ot_alpha,3,159,0.003372,1,0.0029,0.0185,0.0185,0.0051,0.0051
kvasir_cbsampler,ot_alpha,4,776,0.016457,0,0.1413,0.3837,0.3260,0.1626,0.0818
kvasir_cbsampler,ot_alpha,5,4189,0.088838,0,0.3860,0.3813,0.1087,0.3306,0.0365
kvasir_cbsampler,ot_alpha,6,592,0.012555,0,0.2812,0.3516,0.1261,0.2979,0.0402
kvasir_cbsampler,ot_alpha,7,34338,0.728225,0,0.9067,0.8389,0.0718,0.8678,0.0201
kvasir_cbsampler,ot_alpha,8,1529,0.032426,0,0.3073,0.4109,0.0324,0.3425,0.0382
