dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
kvasir_cbsampler,argmax,0,2598,0.018366,0,0.2874,0.0664,0.0464,0.0898,0.0711
kvasir_cbsampler,argmax,1,1338,0.009459,1,0.0835,0.0080,0.0168,0.0012,0.0018
kvasir_cbsampler,argmax,2,1494,0.010561,1,0.0499,0.1378,0.1049,0.0445,0.0069
kvasir_cbsampler,argmax,3,477,0.003372,1,0.0431,0.1420,0.1869,0.0580,0.0649
kvasir_cbsampler,argmax,4,2328,0.016457,0,0.1968,0.2906,0.2488,0.2157,0.1549
kvasir_cbsampler,argmax,5,12567,0.088838,0,0.4429,0.4719,0.1117,0.3945,0.0854
kvasir_cbsampler,argmax,6,1776,0.012555,0,0.3444,0.2464,0.1746,0.2429,0.1286
kvasir_cbsampler,argmax,7,103014,0.728225,0,0.8770,0.8494,0.0559,0.8597,0.0081
kvasir_cbsampler,argmax,8,4587,0.032426,0,0.2698,0.7235,0.0724,0.3923,0.0621
kvasir_cbsampler,argmax,9,8718,0.061629,0,0.4930,0.1080,0.0387,0.1755,0.0587
kvasir_cbsampler,argmax,10,2562,0.018111,0,0.1207,0.0341,0.0236,0.0449,0.0240
kvasir_cbsampler,la_tau,0,2598,0.018366,0,0.2874,0.0664,0.0464,0.0898,0.0711
kvasir_cbsampler,la_tau,1,1338,0.009459,1,0.0835,0.0080,0.0168,0.0012,0.0018
kvasir_cbsampler,la_tau,2,1494,0.010561,1,0.0499,0.1378,0.1049,0.0445,0.0069
kvasir_cbsampler,la_tau,3,477,0.003372,1,0.0431,0.1420,0.1869,0.0580,0.0649
kvasir_cbsampler,la_tau,4,2328,0.016457,0,0.1968,0.2906,0.2488,0.2157,0.1549
kvasir_cbsampler,la_tau,5,12567,0.088838,0,0.4429,0.4719,0.1117,0.3945,0.0854
kvasir_cbsampler,la_tau,6,1776,0.012555,0,0.3444,0.2464,0.1746,0.2429,0.1286
kvasir_cbsampler,la_tau,7,103014,0.728225,0,0.8770,0.8494,0.0559,0.8597,0.0081
kvasir_cbsampler,la_tau,8,4587,0.032426,0,0.2698,0.7235,0.0724,0.3923,0.0621
kvasir_cbsampler,la_tau,9,8718,0.061629,0,0.4930,0.1080,0.0387,0.1755,0.0587
kvasir_cbsampler,la_tau,10,2562,0.018111,0,0.1207,0.0341,0.0236,0.0449,0.0240
kvasir_cbsampler,ot_alpha,0,2598,0.018366,0,0.2578,0.2240,0.1740,0.0858,0.0378
kvasir_cbsampler,ot_alpha,1,1338,0.009459,1,0.0333,0.0035,0.0079,0.0064,0.0143
kvasir_cbsampler,ot_alpha,2,1494,0.010561,1,0.0333,0.0299,0.0149,0.0249,0.0072
kvasir_cbsampler,ot_alpha,3,477,0.003372,1,0.0234,0.1235,0.1785,0.0393,0.0570
kvasir_cbsampler,ot_alpha,4,2328,0.016457,0,0.1472,0.2900,0.2644,0.1525,0.0958
kvasir_cbsampler,ot_alpha,5,12567,0.088838,0,0.4084,0.3719,0.1128,0.3330,0.0468
kvasir_cbsampler,ot_alpha,6,1776,0.012555,0,0.2593,0.2968,0.1551,0.2590,0.0956
kvasir_cbsampler,ot_alpha,7,103014,0.728225,0,0.8790,0.8678,0.0561,0.8704,0.0089
kvasir_cbsampler,ot_alpha,8,4587,0.032426,0,0.3188,0.3964,0.0590,0.3432,0.0530
kvasir_cbsampler,ot_alpha,9,8718,0.061629,0,0.3740,0.3739,0.0852,0.3585,0.0383
kvasir_cbsampler,ot_alpha,10,2562,0.018111,0,0.1922,0.2390,0.1794,0.1985,0.1162
kvasir_cbsampler,mean_temporal,0,2598,0.018366,0,0.3391,0.0586,0.0426,0.0816,0.0450
kvasir_cbsampler,mean_temporal,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,mean_temporal,2,1494,0.010561,1,0.0501,0.1250,0.1033,0.0418,0.0102
kvasir_cbsampler,mean_temporal,3,477,0.003372,1,0.1420,0.1543,0.2587,0.0869,0.1317
kvasir_cbsampler,mean_temporal,4,2328,0.016457,0,0.2877,0.2996,0.2623,0.2698,0.2201
kvasir_cbsampler,mean_temporal,5,12567,0.088838,0,0.4625,0.4931,0.1227,0.4102,0.0917
kvasir_cbsampler,mean_temporal,6,1776,0.012555,0,0.5283,0.2565,0.2272,0.2595,0.2046
kvasir_cbsampler,mean_temporal,7,103014,0.728225,0,0.8752,0.8677,0.0494,0.8684,0.0085
kvasir_cbsampler,mean_temporal,8,4587,0.032426,0,0.2948,0.7662,0.0789,0.4250,0.0661
kvasir_cbsampler,mean_temporal,9,8718,0.061629,0,0.6403,0.0923,0.0376,0.1595,0.0629
kvasir_cbsampler,mean_temporal,10,2562,0.018111,0,0.1445,0.0222,0.0208,0.0335,0.0264
kvasir_cbsampler,ega_b4,0,2598,0.018366,0,0.3136,0.0811,0.0741,0.1224,0.1170
kvasir_cbsampler,ega_b4,1,1338,0.009459,1,0.0070,0.0086,0.0193,0.0077,0.0173
kvasir_cbsampler,ega_b4,2,1494,0.010561,1,0.0536,0.1305,0.0952,0.0485,0.0200
kvasir_cbsampler,ega_b4,3,477,0.003372,1,0.0678,0.3039,0.4189,0.0986,0.1725
kvasir_cbsampler,ega_b4,4,2328,0.016457,0,0.3238,0.3050,0.2558,0.2973,0.2369
kvasir_cbsampler,ega_b4,5,12567,0.088838,0,0.4633,0.4818,0.1240,0.4050,0.0872
kvasir_cbsampler,ega_b4,6,1776,0.012555,0,0.5308,0.2861,0.2022,0.3145,0.1885
kvasir_cbsampler,ega_b4,7,103014,0.728225,0,0.8766,0.8622,0.0494,0.8663,0.0092
kvasir_cbsampler,ega_b4,8,4587,0.032426,0,0.3004,0.7539,0.0865,0.4289,0.0706
kvasir_cbsampler,ega_b4,9,8718,0.061629,0,0.6380,0.0794,0.0320,0.1399,0.0551
kvasir_cbsampler,ega_b4,10,2562,0.018111,0,0.1251,0.0120,0.0092,0.0206,0.0150
kvasir_cbsampler,hcg,0,2598,0.018366,0,0.3000,0.0509,0.0422,0.0716,0.0494
kvasir_cbsampler,hcg,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,hcg,2,1494,0.010561,1,0.0441,0.1444,0.1236,0.0395,0.0106
kvasir_cbsampler,hcg,3,477,0.003372,1,0.2929,0.1667,0.2686,0.0943,0.1217
kvasir_cbsampler,hcg,4,2328,0.016457,0,0.2532,0.3412,0.2910,0.2747,0.2285
kvasir_cbsampler,hcg,5,12567,0.088838,0,0.4580,0.4789,0.1195,0.4019,0.0861
kvasir_cbsampler,hcg,6,1776,0.012555,0,0.5241,0.3046,0.2654,0.2662,0.1960
kvasir_cbsampler,hcg,7,103014,0.728225,0,0.8817,0.8594,0.0501,0.8675,0.0081
kvasir_cbsampler,hcg,8,4587,0.032426,0,0.2931,0.7783,0.0925,0.4252,0.0661
kvasir_cbsampler,hcg,9,8718,0.061629,0,0.6582,0.0975,0.0378,0.1676,0.0618
kvasir_cbsampler,hcg,10,2562,0.018111,0,0.1138,0.0223,0.0367,0.0311,0.0461
kvasir_cbsampler,hcg_const,0,2598,0.018366,0,0.3198,0.0547,0.0360,0.0779,0.0417
kvasir_cbsampler,hcg_const,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,hcg_const,2,1494,0.010561,1,0.0498,0.1393,0.1165,0.0419,0.0090
kvasir_cbsampler,hcg_const,3,477,0.003372,1,0.0186,0.1111,0.2485,0.0319,0.0714
kvasir_cbsampler,hcg_const,4,2328,0.016457,0,0.2931,0.3163,0.2490,0.2870,0.2123
kvasir_cbsampler,hcg_const,5,12567,0.088838,0,0.4626,0.5218,0.1038,0.4316,0.1119
kvasir_cbsampler,hcg_const,6,1776,0.012555,0,0.5214,0.2749,0.2468,0.2563,0.2042
kvasir_cbsampler,hcg_const,7,103014,0.728225,0,0.8814,0.8636,0.0492,0.8697,0.0081
kvasir_cbsampler,hcg_const,8,4587,0.032426,0,0.2966,0.7715,0.0744,0.4276,0.0685
kvasir_cbsampler,hcg_const,9,8718,0.061629,0,0.6511,0.0865,0.0359,0.1505,0.0597
kvasir_cbsampler,hcg_const,10,2562,0.018111,0,0.1472,0.0228,0.0221,0.0348,0.0280
kvasir_cbsampler,hcg_hard,0,2598,0.018366,0,0.2902,0.0479,0.0435,0.0669,0.0512
kvasir_cbsampler,hcg_hard,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,hcg_hard,2,1494,0.010561,1,0.0454,0.1444,0.1236,0.0396,0.0103
kvasir_cbsampler,hcg_hard,3,477,0.003372,1,0.2927,0.1667,0.2686,0.0940,0.1215
kvasir_cbsampler,hcg_hard,4,2328,0.016457,0,0.2443,0.3341,0.2986,0.2692,0.2432
kvasir_cbsampler,hcg_hard,5,12567,0.088838,0,0.4589,0.4864,0.1145,0.4078,0.0902
kvasir_cbsampler,hcg_hard,6,1776,0.012555,0,0.5540,0.2867,0.2478,0.2747,0.2062
kvasir_cbsampler,hcg_hard,7,103014,0.728225,0,0.8804,0.8610,0.0515,0.8675,0.0081
kvasir_cbsampler,hcg_hard,8,4587,0.032426,0,0.2930,0.7783,0.0925,0.4251,0.0664
kvasir_cbsampler,hcg_hard,9,8718,0.061629,0,0.6752,0.0969,0.0375,0.1672,0.0617
kvasir_cbsampler,hcg_hard,10,2562,0.018111,0,0.1401,0.0223,0.0367,0.0328,0.0493
kvasir_cbsampler,hcg_video,0,2598,0.018366,0,0.2669,0.0479,0.0435,0.0660,0.0506
kvasir_cbsampler,hcg_video,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,hcg_video,2,1494,0.010561,1,0.0490,0.1468,0.1212,0.0427,0.0068
kvasir_cbsampler,hcg_video,3,477,0.003372,1,0.2929,0.1667,0.2686,0.0943,0.1217
kvasir_cbsampler,hcg_video,4,2328,0.016457,0,0.2610,0.3604,0.2740,0.2891,0.2167
kvasir_cbsampler,hcg_video,5,12567,0.088838,0,0.4655,0.4984,0.1025,0.4196,0.1016
kvasir_cbsampler,hcg_video,6,1776,0.012555,0,0.4982,0.3061,0.2671,0.2448,0.1766
kvasir_cbsampler,hcg_video,7,103014,0.728225,0,0.8857,0.8572,0.0482,0.8686,0.0078
kvasir_cbsampler,hcg_video,8,4587,0.032426,0,0.2954,0.7721,0.0821,0.4266,0.0680
kvasir_cbsampler,hcg_video,9,8718,0.061629,0,0.6682,0.1022,0.0402,0.1750,0.0664
kvasir_cbsampler,hcg_video,10,2562,0.018111,0,0.1138,0.0223,0.0367,0.0311,0.0461
kvasir_cbsampler,hcg_rel,0,2598,0.018366,0,0.3009,0.0514,0.0426,0.0723,0.0506
kvasir_cbsampler,hcg_rel,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,hcg_rel,2,1494,0.010561,1,0.0450,0.1444,0.1236,0.0395,0.0106
kvasir_cbsampler,hcg_rel,3,477,0.003372,1,0.2929,0.1667,0.2686,0.0943,0.1217
kvasir_cbsampler,hcg_rel,4,2328,0.016457,0,0.2550,0.3412,0.2910,0.2755,0.2295
kvasir_cbsampler,hcg_rel,5,12567,0.088838,0,0.4583,0.4795,0.1193,0.4025,0.0870
kvasir_cbsampler,hcg_rel,6,1776,0.012555,0,0.5248,0.3046,0.2654,0.2667,0.1964
kvasir_cbsampler,hcg_rel,7,103014,0.728225,0,0.8815,0.8595,0.0502,0.8675,0.0080
kvasir_cbsampler,hcg_rel,8,4587,0.032426,0,0.2930,0.7783,0.0925,0.4251,0.0661
kvasir_cbsampler,hcg_rel,9,8718,0.061629,0,0.6586,0.0980,0.0382,0.1682,0.0625
kvasir_cbsampler,hcg_rel,10,2562,0.018111,0,0.1142,0.0223,0.0367,0.0312,0.0463
kvasir_cbsampler,hcg_rel_vid,0,2598,0.018366,0,0.2678,0.0483,0.0439,0.0668,0.0518
kvasir_cbsampler,hcg_rel_vid,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir_cbsampler,hcg_rel_vid,2,1494,0.010561,1,0.0526,0.1468,0.1212,0.0432,0.0068
kvasir_cbsampler,hcg_rel_vid,3,477,0.003372,1,0.2929,0.1667,0.2686,0.0943,0.1217
kvasir_cbsampler,hcg_rel_vid,4,2328,0.016457,0,0.2628,0.3604,0.2740,0.2899,0.2177
kvasir_cbsampler,hcg_rel_vid,5,12567,0.088838,0,0.4658,0.4990,0.1021,0.4201,0.1023
kvasir_cbsampler,hcg_rel_vid,6,1776,0.012555,0,0.4975,0.3061,0.2671,0.2440,0.1763
kvasir_cbsampler,hcg_rel_vid,7,103014,0.728225,0,0.8855,0.8573,0.0483,0.8685,0.0077
kvasir_cbsampler,hcg_rel_vid,8,4587,0.032426,0,0.2953,0.7721,0.0821,0.4265,0.0680
