dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
kvasir,argmax,0,866,0.018366,0,0.3416,0.0734,0.0524,0.1167,0.0946
kvasir,argmax,1,446,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,argmax,2,498,0.010561,1,0.0558,0.1198,0.0763,0.0500,0.0083
kvasir,argmax,3,159,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,argmax,4,776,0.016457,0,0.2355,0.2508,0.2169,0.2397,0.1953
kvasir,argmax,5,4189,0.088838,0,0.4630,0.4988,0.0952,0.4215,0.0892
kvasir,argmax,6,592,0.012555,0,0.4589,0.2024,0.1726,0.2488,0.1933
kvasir,argmax,7,34338,0.728225,0,0.8633,0.8666,0.0421,0.8622,0.0067
kvasir,argmax,8,1529,0.032426,0,0.2676,0.6717,0.0693,0.3818,0.0704
kvasir,argmax,9,2906,0.061629,0,0.6470,0.1385,0.0294,0.2252,0.0365
kvasir,argmax,10,854,0.018111,0,0.2214,0.0425,0.0236,0.0706,0.0369
kvasir,la_tau,0,866,0.018366,0,0.3790,0.1234,0.1023,0.1817,0.1646
kvasir,la_tau,1,446,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,la_tau,2,498,0.010561,1,0.0586,0.1906,0.1297,0.0629,0.0090
kvasir,la_tau,3,159,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,la_tau,4,776,0.016457,0,0.2114,0.2996,0.2488,0.2444,0.1860
kvasir,la_tau,5,4189,0.088838,0,0.4526,0.5263,0.0698,0.4384,0.1063
kvasir,la_tau,6,592,0.012555,0,0.4179,0.2742,0.1410,0.3000,0.0932
kvasir,la_tau,7,34338,0.728225,0,0.8854,0.8384,0.0491,0.8587,0.0045
kvasir,la_tau,8,1529,0.032426,0,0.2541,0.7099,0.0940,0.3739,0.0695
kvasir,la_tau,9,2906,0.061629,0,0.6768,0.1756,0.0281,0.2749,0.0275
kvasir,la_tau,10,854,0.018111,0,0.1832,0.0396,0.0155,0.0644,0.0226
kvasir,ot_alpha,0,866,0.018366,0,0.4031,0.3469,0.1900,0.1757,0.0843
kvasir,ot_alpha,1,446,0.009459,1,0.0642,0.2320,0.2226,0.0254,0.0080
kvasir,ot_alpha,2,498,0.010561,1,0.0123,0.0142,0.0055,0.0106,0.0012
kvasir,ot_alpha,3,159,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,ot_alpha,4,776,0.016457,0,0.0958,0.3687,0.3517,0.1363,0.1123
kvasir,ot_alpha,5,4189,0.088838,0,0.4587,0.4406,0.0924,0.3911,0.0714
kvasir,ot_alpha,6,592,0.012555,0,0.2978,0.3603,0.0995,0.3123,0.0178
kvasir,ot_alpha,7,34338,0.728225,0,0.9041,0.8354,0.0723,0.8647,0.0206
kvasir,ot_alpha,8,1529,0.032426,0,0.3354,0.3315,0.0052,0.3132,0.0789
kvasir,ot_alpha,9,2906,0.061629,0,0.4121,0.5153,0.1192,0.4396,0.0043
kvasir,ot_alpha,10,854,0.018111,0,0.1712,0.3644,0.2974,0.2214,0.1448
kvasir,mean_temporal,0,866,0.018366,0,0.3462,0.0467,0.0467,0.0823,0.0823
kvasir,mean_temporal,1,446,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,mean_temporal,2,498,0.010561,1,0.0521,0.0889,0.0483,0.0425,0.0129
kvasir,mean_temporal,3,159,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,mean_temporal,4,776,0.016457,0,0.2887,0.2578,0.2476,0.2717,0.2579
kvasir,mean_temporal,5,4189,0.088838,0,0.4789,0.5095,0.1124,0.4244,0.0897
kvasir,mean_temporal,6,592,0.012555,0,0.3527,0.2031,0.2031,0.2578,0.2578
kvasir,mean_temporal,7,34338,0.728225,0,0.8593,0.8761,0.0386,0.8648,0.0119
kvasir,mean_temporal,8,1529,0.032426,0,0.2973,0.7138,0.0623,0.4191,0.0623
