dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
kvasir,argmax,0,2598,0.018366,0,0.3576,0.1065,0.0724,0.1521,0.1209
kvasir,argmax,1,1338,0.009459,1,0.0287,0.0155,0.0337,0.0025,0.0039
kvasir,argmax,2,1494,0.010561,1,0.0635,0.1378,0.0874,0.0572,0.0117
kvasir,argmax,3,477,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,argmax,4,2328,0.016457,0,0.1956,0.2437,0.2283,0.2091,0.1796
kvasir,argmax,5,12567,0.088838,0,0.4531,0.4831,0.1064,0.4119,0.0966
kvasir,argmax,6,1776,0.012555,0,0.4252,0.2168,0.1499,0.2624,0.1658
kvasir,argmax,7,103014,0.728225,0,0.8646,0.8578,0.0433,0.8585,0.0087
kvasir,argmax,8,4587,0.032426,0,0.2557,0.6535,0.0911,0.3667,0.0699
kvasir,argmax,9,8718,0.061629,0,0.5623,0.1468,0.0693,0.2276,0.1025
kvasir,argmax,10,2562,0.018111,0,0.2463,0.0688,0.0861,0.0951,0.1040
kvasir,la_tau,0,2598,0.018366,0,0.3576,0.1065,0.0724,0.1521,0.1209
kvasir,la_tau,1,1338,0.009459,1,0.0287,0.0155,0.0337,0.0025,0.0039
kvasir,la_tau,2,1494,0.010561,1,0.0635,0.1378,0.0874,0.0572,0.0117
kvasir,la_tau,3,477,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,la_tau,4,2328,0.016457,0,0.1956,0.2437,0.2283,0.2091,0.1796
kvasir,la_tau,5,12567,0.088838,0,0.4531,0.4831,0.1064,0.4119,0.0966
kvasir,la_tau,6,1776,0.012555,0,0.4252,0.2168,0.1499,0.2624,0.1658
kvasir,la_tau,7,103014,0.728225,0,0.8646,0.8578,0.0433,0.8585,0.0087
kvasir,la_tau,8,4587,0.032426,0,0.2557,0.6535,0.0911,0.3667,0.0699
kvasir,la_tau,9,8718,0.061629,0,0.5623,0.1468,0.0693,0.2276,0.1025
kvasir,la_tau,10,2562,0.018111,0,0.2463,0.0688,0.0861,0.0951,0.1040
kvasir,ot_alpha,0,2598,0.018366,0,0.3692,0.2385,0.1685,0.1068,0.0477
kvasir,ot_alpha,1,1338,0.009459,1,0.0892,0.0892,0.1020,0.0191,0.0136
kvasir,ot_alpha,2,1494,0.010561,1,0.0304,0.0290,0.0238,0.0237,0.0136
kvasir,ot_alpha,3,477,0.003372,1,0.0042,0.0247,0.0552,0.0072,0.0161
kvasir,ot_alpha,4,2328,0.016457,0,0.0939,0.2608,0.2655,0.1261,0.1221
kvasir,ot_alpha,5,12567,0.088838,0,0.4684,0.4099,0.0920,0.3806,0.0629
kvasir,ot_alpha,6,1776,0.012555,0,0.2506,0.2702,0.1613,0.2407,0.1315
kvasir,ot_alpha,7,103014,0.728225,0,0.8735,0.8743,0.0525,0.8711,0.0067
kvasir,ot_alpha,8,4587,0.032426,0,0.3478,0.3132,0.0343,0.3109,0.0770
kvasir,ot_alpha,9,8718,0.061629,0,0.4280,0.4335,0.0922,0.4128,0.0548
kvasir,ot_alpha,10,2562,0.018111,0,0.2184,0.3057,0.2628,0.2386,0.1633
kvasir,mean_temporal,0,2598,0.018366,0,0.4196,0.0726,0.0613,0.1212,0.1032
kvasir,mean_temporal,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,mean_temporal,2,1494,0.010561,1,0.0639,0.1117,0.0799,0.0493,0.0222
kvasir,mean_temporal,3,477,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,mean_temporal,4,2328,0.016457,0,0.2401,0.2622,0.2764,0.2423,0.2309
kvasir,mean_temporal,5,12567,0.088838,0,0.4689,0.5102,0.1257,0.4254,0.1070
kvasir,mean_temporal,6,1776,0.012555,0,0.4913,0.2077,0.1801,0.2662,0.2207
kvasir,mean_temporal,7,103014,0.728225,0,0.8631,0.8713,0.0380,0.8646,0.0129
kvasir,mean_temporal,8,4587,0.032426,0,0.2810,0.6822,0.1062,0.3973,0.0712
kvasir,mean_temporal,9,8718,0.061629,0,0.5790,0.1394,0.0773,0.2228,0.1189
kvasir,mean_temporal,10,2562,0.018111,0,0.2681,0.0644,0.0976,0.0890,0.1181
kvasir,ega_b4,0,2598,0.018366,0,0.3618,0.1632,0.1928,0.2189,0.2465
kvasir,ega_b4,1,1338,0.009459,1,0.0568,0.0142,0.0286,0.0046,0.0066
kvasir,ega_b4,2,1494,0.010561,1,0.0572,0.1176,0.0724,0.0535,0.0217
kvasir,ega_b4,3,477,0.003372,1,0.0039,0.0783,0.1750,0.0075,0.0168
kvasir,ega_b4,4,2328,0.016457,0,0.2971,0.2653,0.2674,0.2700,0.2524
kvasir,ega_b4,5,12567,0.088838,0,0.4780,0.4790,0.1163,0.4184,0.1075
kvasir,ega_b4,6,1776,0.012555,0,0.5501,0.2730,0.1672,0.3592,0.2167
kvasir,ega_b4,7,103014,0.728225,0,0.8837,0.8411,0.0649,0.8579,0.0163
kvasir,ega_b4,8,4587,0.032426,0,0.2886,0.6533,0.1109,0.3998,0.0754
kvasir,ega_b4,9,8718,0.061629,0,0.5345,0.1076,0.0673,0.1768,0.1075
kvasir,ega_b4,10,2562,0.018111,0,0.2245,0.0108,0.0077,0.0193,0.0140
kvasir,hcg,0,2598,0.018366,0,0.5008,0.1835,0.2219,0.2407,0.2515
kvasir,hcg,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,hcg,2,1494,0.010561,1,0.0528,0.1458,0.0994,0.0537,0.0278
kvasir,hcg,3,477,0.003372,1,0.0000,0.0000,0.0000,0.0000,0.0000
kvasir,hcg,4,2328,0.016457,0,0.2226,0.2882,0.2830,0.2422,0.2129
kvasir,hcg,5,12567,0.088838,0,0.4613,0.5457,0.0887,0.4524,0.1171
kvasir,hcg,6,1776,0.012555,0,0.4718,0.2690,0.2360,0.3001,0.2518
kvasir,hcg,7,103014,0.728225,0,0.8857,0.8551,0.0344,0.8686,0.0046
kvasir,hcg,8,4587,0.032426,0,0.2697,0.7165,0.1472,0.3899,0.0783
kvasir,hcg,9,8718,0.061629,0,0.5933,0.1553,0.0790,0.2447,0.1208
kvasir,hcg,10,2562,0.018111,0,0.2408,0.0151,0.0122,0.0271,0.0220
kvasir,hcg_const,0,2598,0.018366,0,0.4291,0.0821,0.0691,0.1354,0.1153
kvasir,hcg_const,1,1338,0.009459,1,0.0000,0.0000,0.0000,0.0000,0.0000
