dataset,scope,method,f1_mean,f1_sd,recall,mcc,rareRec_mean,rareRec_sd
kvasir,single,argmax,0.2383,0.0098,0.2848,0.3619,0.0539,0.0430
kvasir,single,ot_alpha,0.2449,0.0128,0.2989,0.3691,0.0236,0.0259
kvasir,single,mean_temporal,0.2459,0.0107,0.2912,0.3817,0.0622,0.0481
kvasir,single,asd,0.2383,0.0096,0.2848,0.3619,0.0539,0.0430
kvasir,single,asd_ot,0.2366,0.0117,0.2568,0.3485,0.0272,0.0170
kvasir,ens,argmax,0.2513,0.0003,0.2910,0.3829,0.0543,0.0437
kvasir,ens,ot_alpha,0.2498,0.0140,0.3223,0.3810,0.0089,0.0050
kvasir,ens,mean_temporal,0.2608,0.0008,0.2962,0.4029,0.0546,0.0478
kvasir,ens,asd,0.2472,0.0046,0.2793,0.3876,0.0478,0.0372
kvasir,ens,asd_ot,0.2539,0.0269,0.2983,0.3863,0.0123,0.0007
galar_pathology,single,argmax,0.1839,0.0159,0.1990,0.4195,0.0250,0.0180
galar_pathology,single,ot_alpha,0.1671,0.0156,0.1884,0.3479,0.0304,0.0290
galar_pathology,single,mean_temporal,0.1878,0.0156,0.1964,0.4486,0.0219,0.0165
galar_pathology,single,asd,0.1874,0.0141,0.1983,0.4414,0.0239,0.0189
galar_pathology,single,asd_ot,0.1873,0.0165,0.1971,0.4270,0.0472,0.0521
galar_pathology,ens,argmax,0.1947,0.0147,0.2008,0.4612,0.0219,0.0139
galar_pathology,ens,ot_alpha,0.1755,0.0196,0.1986,0.3630,0.0436,0.0360
galar_pathology,ens,mean_temporal,0.1979,0.0148,0.1978,0.4798,0.0193,0.0137
galar_pathology,ens,asd,0.1953,0.0142,0.2009,0.4645,0.0214,0.0144
galar_pathology,ens,asd_ot,0.1987,0.0174,0.1980,0.4690,0.0286,0.0184
kvasir,single,argmax,0.2383,0.0098,0.2848,0.3619,0.0539,0.0430
kvasir,single,ot_alpha,0.2449,0.0128,0.2989,0.3691,0.0236,0.0259
kvasir,single,mean_temporal,0.2459,0.0107,0.2912,0.3817,0.0622,0.0481
kvasir,single,asd,0.2383,0.0096,0.2848,0.3619,0.0539,0.0430
kvasir,single,asd_ot,0.2366,0.0117,0.2568,0.3485,0.0272,0.0170
kvasir,ens,argmax,0.2513,0.0003,0.2910,0.3829,0.0543,0.0437
kvasir,ens,ot_alpha,0.2498,0.0140,0.3223,0.3810,0.0089,0.0050
kvasir,ens,mean_temporal,0.2608,0.0008,0.2962,0.4029,0.0546,0.0478
kvasir,ens,asd,0.2472,0.0046,0.2793,0.3876,0.0478,0.0372
kvasir,ens,asd_ot,0.2539,0.0269,0.2983,0.3863,0.0123,0.0007
galar_pathology,single,argmax,0.1839,0.0159,0.1990,0.4195,0.0250,0.0180
galar_pathology,single,ot_alpha,0.1671,0.0156,0.1884,0.3479,0.0304,0.0290
galar_pathology,single,mean_temporal,0.1878,0.0156,0.1964,0.4486,0.0219,0.0165
galar_pathology,single,asd,0.1874,0.0141,0.1983,0.4414,0.0239,0.0189
galar_pathology,single,asd_ot,0.1873,0.0165,0.1971,0.4270,0.0472,0.0521
galar_pathology,ens,argmax,0.1947,0.0147,0.2008,0.4612,0.0219,0.0139
galar_pathology,ens,ot_alpha,0.1755,0.0196,0.1986,0.3630,0.0436,0.0360
galar_pathology,ens,mean_temporal,0.1979,0.0148,0.1978,0.4798,0.0193,0.0137
galar_pathology,ens,asd,0.1953,0.0142,0.2009,0.4645,0.0214,0.0144
galar_pathology,ens,asd_ot,0.1987,0.0174,0.1980,0.4690,0.0286,0.0184
