dataset,scope,method,f1_mean,f1_sd,recall_mean,recall_sd,mcc_mean,mcc_sd,rareRec_mean,rareRec_sd,rarePrec_mean,rarePrec_sd,rareF1_mean,rareF1_sd
kvasir,single,argmax,0.2403,0.0274,0.2664,0.0163,0.3683,0.0374,0.0511,0.0264,0.0307,0.0199,0.0199,0.0047
kvasir,single,la_tau,0.2403,0.0274,0.2664,0.0163,0.3683,0.0374,0.0511,0.0264,0.0307,0.0199,0.0199,0.0047
kvasir,single,ot_alpha,0.2489,0.0271,0.2954,0.0225,0.3891,0.0301,0.0477,0.0262,0.0413,0.0380,0.0167,0.0045
kvasir,single,mean_temporal,0.2435,0.0276,0.2656,0.0178,0.3813,0.0385,0.0372,0.0266,0.0213,0.0189,0.0164,0.0074
kvasir,single,ega_b4,0.2533,0.0301,0.2730,0.0148,0.3774,0.0462,0.0700,0.0561,0.0393,0.0382,0.0219,0.0110
kvasir,single,hcg,0.2563,0.0364,0.2886,0.0221,0.4073,0.0427,0.0486,0.0331,0.0176,0.0122,0.0179,0.0093
kvasir,single,hcg_const,0.2458,0.0289,0.2689,0.0166,0.3862,0.0386,0.0363,0.0278,0.0175,0.0123,0.0138,0.0036
kvasir,single,hcg_hard,0.2557,0.0335,0.2864,0.0209,0.4059,0.0424,0.0482,0.0329,0.0175,0.0123,0.0178,0.0093
kvasir,single,hcg_video,0.2535,0.0336,0.2842,0.0195,0.3903,0.0387,0.0467,0.0339,0.0190,0.0116,0.0169,0.0033
kvasir,single,hcg_rel,0.2564,0.0360,0.2881,0.0216,0.4067,0.0423,0.0486,0.0331,0.0169,0.0109,0.0176,0.0086
kvasir,single,hcg_rel_vid,0.2546,0.0341,0.2849,0.0197,0.3906,0.0387,0.0478,0.0329,0.0226,0.0172,0.0187,0.0064
kvasir,single,hce,0.2654,0.0413,0.2986,0.0311,0.3955,0.0573,0.0635,0.0345,0.0191,0.0130,0.0241,0.0166
kvasir,single,hce_auto,0.2613,0.0360,0.2855,0.0216,0.3985,0.0549,0.0488,0.0304,0.0169,0.0106,0.0192,0.0088
kvasir,single,pact,0.2571,0.0360,0.2806,0.0207,0.3924,0.0537,0.0484,0.0306,0.0178,0.0130,0.0190,0.0094
kvasir,single,pact_uncon,0.2571,0.0360,0.2806,0.0207,0.3924,0.0537,0.0484,0.0306,0.0178,0.0130,0.0190,0.0094
kvasir,single,hceb,0.2640,0.0408,0.2953,0.0333,0.3950,0.0536,0.0571,0.0295,0.0200,0.0139,0.0237,0.0165
kvasir,single,hceb_t15,0.2635,0.0400,0.2952,0.0325,0.3955,0.0535,0.0568,0.0296,0.0199,0.0135,0.0234,0.0161
kvasir,single,hceb_t60,0.2627,0.0405,0.2938,0.0326,0.3927,0.0537,0.0568,0.0293,0.0204,0.0150,0.0240,0.0175
kvasir,single,condb,0.2518,0.0328,0.2808,0.0185,0.4003,0.0374,0.0431,0.0295,0.0183,0.0141,0.0171,0.0099
kvasir,single,hcea,0.2654,0.0413,0.2986,0.0311,0.3955,0.0573,0.0635,0.0345,0.0191,0.0130,0.0241,0.0166
kvasir,single,hcea_s2,0.2608,0.0398,0.2950,0.0272,0.3923,0.0570,0.0615,0.0368,0.0177,0.0137,0.0227,0.0179
kvasir,single,hcea_nosup,0.2654,0.0413,0.2986,0.0311,0.3955,0.0573,0.0635,0.0345,0.0191,0.0130,0.0241,0.0166
kvasir,single,conda,0.2564,0.0360,0.2881,0.0216,0.4067,0.0423,0.0486,0.0331,0.0169,0.0109,0.0176,0.0086
kvasir,single,hcg_Lvid,0.2535,0.0336,0.2842,0.0195,0.3903,0.0387,0.0467,0.0339,0.0190,0.0116,0.0169,0.0033
kvasir,single,hcg_L1000,0.2538,0.0338,0.2844,0.0198,0.3906,0.0383,0.0470,0.0341,0.0193,0.0119,0.0170,0.0033
kvasir,single,hcg_L300,0.2556,0.0361,0.2849,0.0203,0.3912,0.0381,0.0459,0.0352,0.0173,0.0106,0.0156,0.0036
kvasir,single,hcg_L100,0.2531,0.0352,0.2803,0.0194,0.3905,0.0451,0.0437,0.0322,0.0173,0.0109,0.0153,0.0035
