dataset,scope,method,f1_mean,f1_sd,recall_mean,recall_sd,mcc_mean,mcc_sd,rareRec_mean,rareRec_sd,rarePrec_mean,rarePrec_sd,rareF1_mean,rareF1_sd
kvasir_cbsampler,single,argmax,0.2290,0.0207,0.2798,0.0311,0.3678,0.0337,0.0959,0.0909,0.0589,0.0617,0.0346,0.0216
kvasir_cbsampler,single,la_tau,0.2290,0.0207,0.2798,0.0311,0.3678,0.0337,0.0959,0.0909,0.0589,0.0617,0.0346,0.0216
kvasir_cbsampler,single,ot_alpha,0.2429,0.0171,0.2924,0.0268,0.3764,0.0237,0.0523,0.0644,0.0300,0.0324,0.0235,0.0228
kvasir_cbsampler,single,mean_temporal,0.2397,0.0131,0.2850,0.0383,0.3841,0.0338,0.0931,0.1133,0.0641,0.0857,0.0429,0.0423
kvasir_cbsampler,single,ega_b4,0.2500,0.0265,0.3004,0.0548,0.3804,0.0365,0.1477,0.1677,0.0428,0.0369,0.0516,0.0561
kvasir_cbsampler,single,hcg,0.2400,0.0140,0.2949,0.0393,0.3839,0.0334,0.1037,0.1245,0.1123,0.1264,0.0446,0.0410
kvasir_cbsampler,single,hcg_const,0.2372,0.0254,0.2875,0.0371,0.3927,0.0429,0.0835,0.1126,0.0228,0.0146,0.0246,0.0262
kvasir_cbsampler,single,hcg_hard,0.2404,0.0143,0.2932,0.0408,0.3850,0.0340,0.1037,0.1245,0.1127,0.1261,0.0445,0.0408
kvasir_cbsampler,single,hcg_video,0.2416,0.0145,0.2982,0.0380,0.3900,0.0384,0.1045,0.1238,0.1140,0.1252,0.0457,0.0400
kvasir_cbsampler,single,hcg_rel,0.2403,0.0144,0.2951,0.0392,0.3842,0.0336,0.1037,0.1245,0.1126,0.1262,0.0446,0.0409
kvasir_cbsampler,single,hcg_rel_vid,0.2418,0.0148,0.2983,0.0379,0.3901,0.0385,0.1045,0.1238,0.1152,0.1243,0.0459,0.0399
kvasir_cbsampler,single,hce,0.2509,0.0306,0.3093,0.0553,0.3804,0.0355,0.1534,0.1724,0.0446,0.0437,0.0532,0.0623
kvasir_cbsampler,single,hce_auto,0.2469,0.0264,0.2960,0.0465,0.3804,0.0365,0.1358,0.1490,0.0450,0.0363,0.0552,0.0566
kvasir_cbsampler,single,pact,0.2370,0.0225,0.2870,0.0422,0.3839,0.0332,0.0899,0.1234,0.0769,0.1186,0.0278,0.0222
kvasir_cbsampler,single,pact_uncon,0.2370,0.0225,0.2870,0.0422,0.3839,0.0332,0.0899,0.1234,0.0769,0.1186,0.0278,0.0222
kvasir_cbsampler,single,hceb,0.2510,0.0306,0.3060,0.0567,0.3798,0.0337,0.1500,0.1727,0.0458,0.0466,0.0544,0.0651
kvasir_cbsampler,single,hceb_t15,0.2512,0.0306,0.3063,0.0569,0.3800,0.0331,0.1504,0.1733,0.0459,0.0466,0.0545,0.0651
kvasir_cbsampler,single,hceb_t60,0.2520,0.0301,0.3064,0.0563,0.3801,0.0342,0.1519,0.1717,0.0475,0.0458,0.0562,0.0643
kvasir_cbsampler,single,condb,0.2370,0.0223,0.2892,0.0401,0.3837,0.0320,0.0867,0.1188,0.0354,0.0269,0.0273,0.0258
kvasir_cbsampler,single,hcea,0.2509,0.0306,0.3093,0.0553,0.3804,0.0355,0.1534,0.1724,0.0446,0.0437,0.0532,0.0623
kvasir_cbsampler,single,hcea_s2,0.2496,0.0316,0.3078,0.0565,0.3801,0.0354,0.1513,0.1733,0.0459,0.0464,0.0529,0.0652
kvasir_cbsampler,single,hcea_nosup,0.2509,0.0306,0.3093,0.0553,0.3804,0.0355,0.1534,0.1724,0.0446,0.0437,0.0532,0.0623
kvasir_cbsampler,single,conda,0.2403,0.0144,0.2951,0.0392,0.3842,0.0336,0.1037,0.1245,0.1126,0.1262,0.0446,0.0409
kvasir_cbsampler,single,hcg_Lvid,0.2416,0.0145,0.2982,0.0380,0.3900,0.0384,0.1045,0.1238,0.1140,0.1252,0.0457,0.0400
kvasir_cbsampler,single,hcg_L1000,0.2423,0.0145,0.2987,0.0377,0.3901,0.0387,0.1042,0.1241,0.1136,0.1255,0.0454,0.0404
kvasir_cbsampler,single,hcg_L300,0.2426,0.0145,0.2991,0.0376,0.3896,0.0374,0.1049,0.1244,0.1138,0.1255,0.0459,0.0409
kvasir_cbsampler,single,hcg_L100,0.2447,0.0158,0.2998,0.0371,0.3850,0.0345,0.1043,0.1232,0.0896,0.0922,0.0491,0.0422
kvasir_cbsampler,single,hcg_L30,0.2434,0.0139,0.2992,0.0410,0.3864,0.0350,0.1103,0.1327,0.0849,0.0894,0.0512,0.0437
kvasir_cbsampler,single,hcg_L10,0.2489,0.0150,0.3031,0.0447,0.3910,0.0374,0.1207,0.1461,0.0865,0.0903,0.0565,0.0469
kvasir_cbsampler,single,hcg_L3,0.2482,0.0207,0.2993,0.0424,0.3938,0.0410,0.1140,0.1372,0.0602,0.0877,0.0421,0.0409
kvasir_cbsampler,ens,argmax,0.2296,0.0061,0.2743,0.0222,0.3690,0.0289,0.0917,0.0811,0.0376,0.0111,0.0433,0.0281
kvasir_cbsampler,ens,la_tau,0.2383,0.0073,0.3041,0.0333,0.3786,0.0397,0.1383,0.1238,0.0299,0.0038,0.0389,0.0203
