dataset,scope,method,test,metric,delta,pvalue,ci_lo,ci_hi
kvasir,single,pact,fold_ttest,F1,0.0136,0.0327,,
kvasir,single,pact,fold_ttest,MCC,0.0111,0.4862,,
kvasir,single,pact,fold_ttest,rareRec,0.0111,0.1315,,
kvasir,single,pact,fold_ttest,rarePrec,-0.0035,0.6979,,
kvasir,single,pact,fold_ttest,rareF1,0.0026,0.6775,,
kvasir,single,pact,video_cluster_bootstrap,F1,0.0082,0.2161,-0.0181,0.0271
kvasir,single,pact,video_cluster_bootstrap,MCC,0.0097,0.02834,-0.0239,0.0436
kvasir,single,pact,video_cluster_bootstrap,rareRec,0.0106,0.4458,-0.0077,0.0384
kvasir,single,pact,video_cluster_bootstrap,rarePrec,-0.0040,0.5074,-0.0265,0.0173
kvasir,single,pact,video_cluster_bootstrap,rareF1,0.0027,0.2387,-0.0083,0.0185
kvasir,single,pact_uncon,fold_ttest,F1,0.0136,0.0327,,
kvasir,single,pact_uncon,fold_ttest,MCC,0.0111,0.4862,,
kvasir,single,pact_uncon,fold_ttest,rareRec,0.0111,0.1315,,
kvasir,single,pact_uncon,fold_ttest,rarePrec,-0.0035,0.6979,,
kvasir,single,pact_uncon,fold_ttest,rareF1,0.0026,0.6775,,
kvasir,single,pact_uncon,video_cluster_bootstrap,F1,0.0082,0.2161,-0.0181,0.0271
kvasir,single,pact_uncon,video_cluster_bootstrap,MCC,0.0097,0.02834,-0.0239,0.0436
kvasir,single,pact_uncon,video_cluster_bootstrap,rareRec,0.0106,0.4458,-0.0077,0.0384
kvasir,single,pact_uncon,video_cluster_bootstrap,rarePrec,-0.0040,0.5074,-0.0265,0.0173
kvasir,single,pact_uncon,video_cluster_bootstrap,rareF1,0.0027,0.2387,-0.0083,0.0185
kvasir,single,hce,fold_ttest,F1,0.0219,0.0343,,
kvasir,single,hce,fold_ttest,MCC,0.0142,0.4760,,
kvasir,single,hce,fold_ttest,rareRec,0.0262,0.1166,,
kvasir,single,hce,fold_ttest,rarePrec,-0.0022,0.8023,,
kvasir,single,hce,fold_ttest,rareF1,0.0077,0.4035,,
kvasir,single,hce,video_cluster_bootstrap,F1,0.0133,0.2481,-0.0241,0.0379
kvasir,single,hce,video_cluster_bootstrap,MCC,0.0121,0.001913,-0.0364,0.0611
kvasir,single,hce,video_cluster_bootstrap,rareRec,0.0261,0.1112,-0.0077,0.0655
kvasir,single,hce,video_cluster_bootstrap,rarePrec,-0.0029,0.3326,-0.0330,0.0264
kvasir,single,hce,video_cluster_bootstrap,rareF1,0.0082,0.07275,-0.0085,0.0302
kvasir,ens,pact,fold_ttest,F1,0.0179,0.0655,,
kvasir,ens,pact,fold_ttest,MCC,0.0209,0.3790,,
kvasir,ens,pact,fold_ttest,rareRec,0.0349,0.5000,,
kvasir,ens,pact,fold_ttest,rarePrec,-0.0006,0.9156,,
kvasir,ens,pact,fold_ttest,rareF1,0.0032,0.5971,,
kvasir,ens,pact,video_cluster_bootstrap,F1,0.0148,0.04572,-0.0022,0.0307
kvasir,ens,pact,video_cluster_bootstrap,MCC,0.0196,0.01361,-0.0140,0.0510
kvasir,ens,pact,video_cluster_bootstrap,rareRec,0.0337,0.5455,0.0000,0.0677
kvasir,ens,pact,video_cluster_bootstrap,rarePrec,0.0001,0.3321,-0.0113,0.0124
kvasir,ens,pact,video_cluster_bootstrap,rareF1,0.0045,0.2949,-0.0029,0.0191
kvasir,ens,pact_uncon,fold_ttest,F1,0.0551,0.0293,,
kvasir,ens,pact_uncon,fold_ttest,MCC,0.0400,0.4016,,
kvasir,ens,pact_uncon,fold_ttest,rareRec,0.0640,0.4191,,
kvasir,ens,pact_uncon,fold_ttest,rarePrec,0.0481,0.5048,,
kvasir,ens,pact_uncon,fold_ttest,rareF1,0.0131,0.1592,,
kvasir,ens,pact_uncon,video_cluster_bootstrap,F1,0.0394,0.0511,-0.0069,0.0722
kvasir,ens,pact_uncon,video_cluster_bootstrap,MCC,0.0376,5.208e-298,-0.0143,0.0954
kvasir,ens,pact_uncon,video_cluster_bootstrap,rareRec,0.0626,0.07899,0.0000,0.1451
kvasir,ens,pact_uncon,video_cluster_bootstrap,rarePrec,0.0578,0.3547,-0.0167,0.1902
kvasir,ens,pact_uncon,video_cluster_bootstrap,rareF1,0.0139,0.1352,-0.0009,0.0452
kvasir,ens,hce,fold_ttest,F1,0.0666,0.0701,,
kvasir,ens,hce,fold_ttest,MCC,0.0626,0.4182,,
kvasir,ens,hce,fold_ttest,rareRec,0.0716,0.3355,,
kvasir,ens,hce,fold_ttest,rarePrec,0.0051,0.0736,,
kvasir,ens,hce,fold_ttest,rareF1,0.0152,0.1721,,
kvasir,ens,hce,video_cluster_bootstrap,F1,0.0466,0.04584,-0.0118,0.0877
kvasir,ens,hce,video_cluster_bootstrap,MCC,0.0584,0.02115,-0.0121,0.1335
kvasir,ens,hce,video_cluster_bootstrap,rareRec,0.0721,0.2202,0.0000,0.1795
kvasir,ens,hce,video_cluster_bootstrap,rarePrec,0.0038,0.7835,-0.0234,0.0333
