dataset,scope,method,test,metric,delta,pvalue,ci_lo,ci_hi
kvasir_cbsampler,single,pact,fold_ttest,F1,-0.0027,0.6650,,
kvasir_cbsampler,single,pact,fold_ttest,MCC,-0.0002,0.9420,,
kvasir_cbsampler,single,pact,fold_ttest,rareRec,-0.0032,0.7936,,
kvasir_cbsampler,single,pact,fold_ttest,rarePrec,0.0128,0.8697,,
kvasir_cbsampler,single,pact,fold_ttest,rareF1,-0.0151,0.4237,,
kvasir_cbsampler,single,pact,video_cluster_bootstrap,F1,-0.0027,0.5867,-0.0205,0.0107
kvasir_cbsampler,single,pact,video_cluster_bootstrap,MCC,-0.0006,0.7049,-0.0191,0.0163
kvasir_cbsampler,single,pact,video_cluster_bootstrap,rareRec,-0.0018,0.8409,-0.0175,0.0150
kvasir_cbsampler,single,pact,video_cluster_bootstrap,rarePrec,0.0073,0.8681,-0.0704,0.1133
kvasir_cbsampler,single,pact,video_cluster_bootstrap,rareF1,-0.0102,0.8933,-0.0287,0.0108
kvasir_cbsampler,single,pact_uncon,fold_ttest,F1,-0.0027,0.6650,,
kvasir_cbsampler,single,pact_uncon,fold_ttest,MCC,-0.0002,0.9420,,
kvasir_cbsampler,single,pact_uncon,fold_ttest,rareRec,-0.0032,0.7936,,
kvasir_cbsampler,single,pact_uncon,fold_ttest,rarePrec,0.0128,0.8697,,
kvasir_cbsampler,single,pact_uncon,fold_ttest,rareF1,-0.0151,0.4237,,
kvasir_cbsampler,single,pact_uncon,video_cluster_bootstrap,F1,-0.0027,0.5867,-0.0205,0.0107
kvasir_cbsampler,single,pact_uncon,video_cluster_bootstrap,MCC,-0.0006,0.7049,-0.0191,0.0163
kvasir_cbsampler,single,pact_uncon,video_cluster_bootstrap,rareRec,-0.0018,0.8409,-0.0175,0.0150
kvasir_cbsampler,single,pact_uncon,video_cluster_bootstrap,rarePrec,0.0073,0.8681,-0.0704,0.1133
kvasir_cbsampler,single,pact_uncon,video_cluster_bootstrap,rareF1,-0.0102,0.8933,-0.0287,0.0108
kvasir_cbsampler,single,hce,fold_ttest,F1,0.0112,0.3654,,
kvasir_cbsampler,single,hce,fold_ttest,MCC,-0.0037,0.3607,,
kvasir_cbsampler,single,hce,fold_ttest,rareRec,0.0603,0.2406,,
kvasir_cbsampler,single,hce,fold_ttest,rarePrec,-0.0194,0.7097,,
kvasir_cbsampler,single,hce,fold_ttest,rareF1,0.0103,0.7927,,
kvasir_cbsampler,single,hce,video_cluster_bootstrap,F1,0.0069,0.5734,-0.0256,0.0314
kvasir_cbsampler,single,hce,video_cluster_bootstrap,MCC,-0.0038,0.9194,-0.0296,0.0222
kvasir_cbsampler,single,hce,video_cluster_bootstrap,rareRec,0.0463,0.4932,-0.0149,0.1014
kvasir_cbsampler,single,hce,video_cluster_bootstrap,rarePrec,-0.0101,0.6015,-0.0972,0.0765
kvasir_cbsampler,single,hce,video_cluster_bootstrap,rareF1,0.0106,0.3749,-0.0317,0.0605
kvasir_cbsampler,ens,pact,fold_ttest,F1,0.0137,0.1354,,
kvasir_cbsampler,ens,pact,fold_ttest,MCC,0.0153,0.4928,,
kvasir_cbsampler,ens,pact,fold_ttest,rareRec,0.1422,0.5022,,
kvasir_cbsampler,ens,pact,fold_ttest,rarePrec,-0.0923,0.4750,,
kvasir_cbsampler,ens,pact,fold_ttest,rareF1,-0.0171,0.4570,,
kvasir_cbsampler,ens,pact,video_cluster_bootstrap,F1,0.0128,0.1421,-0.0064,0.0365
kvasir_cbsampler,ens,pact,video_cluster_bootstrap,MCC,0.0143,6.849e-298,-0.0030,0.0348
kvasir_cbsampler,ens,pact,video_cluster_bootstrap,rareRec,0.0996,0.2213,-0.0026,0.1607
kvasir_cbsampler,ens,pact,video_cluster_bootstrap,rarePrec,-0.0641,0.4492,-0.1372,0.0045
