dataset,scope,method,f1_mean,f1_sd,recall,mcc,rareRec_mean,rareRec_sd
kvasir,single,argmax,0.2383,0.0098,0.2848,0.3619,0.0539,0.0430
kvasir,single,la,0.2384,0.0099,0.2852,0.3620,0.0540,0.0428
kvasir,single,ot_alpha,0.2449,0.0128,0.2989,0.3691,0.0236,0.0259
kvasir,single,mean_temporal,0.2459,0.0107,0.2912,0.3817,0.0622,0.0481
kvasir,single,mstd,0.2479,0.0121,0.3005,0.3831,0.0623,0.0499
kvasir,single,mstd_ot,0.2588,0.0190,0.3153,0.3845,0.0229,0.0261
kvasir,ens,argmax,0.2513,0.0003,0.2910,0.3829,0.0543,0.0437
kvasir,ens,la,0.2514,0.0053,0.3097,0.3792,0.0676,0.0522
kvasir,ens,ot_alpha,0.2498,0.0140,0.3223,0.3810,0.0089,0.0050
kvasir,ens,mean_temporal,0.2608,0.0008,0.2962,0.4029,0.0546,0.0478
kvasir,ens,mstd,0.2362,0.0210,0.3001,0.3841,0.0935,0.0829
kvasir,ens,mstd_ot,0.2728,0.0241,0.3489,0.4028,0.0014,0.0014
galar_pathology,single,argmax,0.1839,0.0159,0.1990,0.4195,0.0250,0.0180
galar_pathology,single,la,0.1839,0.0159,0.1990,0.4195,0.0250,0.0180
galar_pathology,single,ot_alpha,0.1671,0.0156,0.1884,0.3479,0.0304,0.0290
galar_pathology,single,mean_temporal,0.1878,0.0156,0.1964,0.4486,0.0219,0.0165
galar_pathology,single,mstd,0.1805,0.0149,0.1716,0.4518,0.0120,0.0125
galar_pathology,single,mstd_ot,0.1660,0.0171,0.1863,0.3490,0.0261,0.0243
galar_pathology,ens,argmax,0.1947,0.0147,0.2008,0.4612,0.0219,0.0139
galar_pathology,ens,la,0.1947,0.0147,0.2008,0.4612,0.0219,0.0139
galar_pathology,ens,ot_alpha,0.1755,0.0196,0.1986,0.3630,0.0436,0.0360
galar_pathology,ens,mean_temporal,0.1979,0.0148,0.1978,0.4798,0.0193,0.0137
galar_pathology,ens,mstd,0.1778,0.0169,0.1631,0.4672,0.0046,0.0043
galar_pathology,ens,mstd_ot,0.1728,0.0167,0.1931,0.3643,0.0270,0.0193
kvasir,single,argmax,0.2383,0.0098,0.2848,0.3619,0.0539,0.0430
kvasir,single,la,0.2384,0.0099,0.2852,0.3620,0.0540,0.0428
kvasir,single,ot_alpha,0.2449,0.0128,0.2989,0.3691,0.0236,0.0259
kvasir,single,mean_temporal,0.2459,0.0107,0.2912,0.3817,0.0622,0.0481
kvasir,single,mstd,0.2479,0.0121,0.3005,0.3831,0.0623,0.0499
kvasir,single,mstd_ot,0.2588,0.0190,0.3153,0.3845,0.0229,0.0261
kvasir,ens,argmax,0.2513,0.0003,0.2910,0.3829,0.0543,0.0437
kvasir,ens,la,0.2514,0.0053,0.3097,0.3792,0.0676,0.0522
kvasir,ens,ot_alpha,0.2498,0.0140,0.3223,0.3810,0.0089,0.0050
kvasir,ens,mean_temporal,0.2608,0.0008,0.2962,0.4029,0.0546,0.0478
kvasir,ens,mstd,0.2362,0.0210,0.3001,0.3841,0.0935,0.0829
kvasir,ens,mstd_ot,0.2728,0.0241,0.3489,0.4028,0.0014,0.0014
galar_pathology,single,argmax,0.1839,0.0159,0.1990,0.4195,0.0250,0.0180
galar_pathology,single,la,0.1839,0.0159,0.1990,0.4195,0.0250,0.0180
galar_pathology,single,ot_alpha,0.1671,0.0156,0.1884,0.3479,0.0304,0.0290
galar_pathology,single,mean_temporal,0.1878,0.0156,0.1964,0.4486,0.0219,0.0165
galar_pathology,single,mstd,0.1805,0.0149,0.1716,0.4518,0.0120,0.0125
galar_pathology,single,mstd_ot,0.1660,0.0171,0.1863,0.3490,0.0261,0.0243
galar_pathology,ens,argmax,0.1947,0.0147,0.2008,0.4612,0.0219,0.0139
galar_pathology,ens,la,0.1947,0.0147,0.2008,0.4612,0.0219,0.0139
galar_pathology,ens,ot_alpha,0.1755,0.0196,0.1986,0.3630,0.0436,0.0360
galar_pathology,ens,mean_temporal,0.1979,0.0148,0.1978,0.4798,0.0193,0.0137
galar_pathology,ens,mstd,0.1778,0.0169,0.1631,0.4672,0.0046,0.0043
galar_pathology,ens,mstd_ot,0.1728,0.0167,0.1931,0.3643,0.0270,0.0193
